mijiadezhongshifensi	米_家__的_忠____实__粉__丝_
haixuyaojiankacainengyong	还__需_要__剪___卡_才__能___用___
shileyixiaqitagongnenghaishibucuode	试__了_一_下__其_他_功___能___还__是__不_错__的_
woyeshitingtongxuejieshao	我_也_是__听___同___学__介__绍___
diyiciyongmeizushouji	第_一_次_用___魅__族_手___机_
zhegejiagemaidaodeshoujiyijingbucuole	这__个_价__格_买__到__的_手___机_已_经___不_错__了_
xiwangyihouyongqilaibuhuirangwoshiwang	希_望___以_后__用___起_来__不_会__让___我_失__望___
shoujizuotianxiawudingdedan	手___机_昨__天___下__午_订___的_单__
jintianzaoshangjiudaole	今__天___早__上____就__到__了_
wuliusuduyiliu	物_流__速_度_一_流__
jipingmianxixiaoxiaofahuang	机_屏___面___系_小___小___发_黄____
danganjuehaoshufubushangyan	但__感__觉__好__舒__服_不_伤____眼__
tupianqing	图_片___清___
zheshiyongzhegejipaide	这__是__用___这__个_机_拍__的_
xiangsubucuo	像____素_不_错__
xitongjianyue	系_统___简___约__
wuliuhenkuai	物_流__很__快___
maigeibabayongde	买__给__爸_爸_用___的_
zuotianxiadan	昨__天___下__单__
jintianjiushoudaole	今__天___就__收___到__了_
jingdongwuliujiushibang	京___东___物_流__就__是__棒___
zhiyushoujizenmeyang	至__于_手___机_怎__么_样___
yaokanbabayonglezhihoudeganjuele	要__看__爸_爸_用___了_之__后__的_感__觉__了_
zuogongbucuo	做__工___不_错__
pingmutinghao	屏___幕_挺___好__
haibucuo	还__不_错__
haibucuo	还__不_错__
xianzaiyongzhezanshimeiyoushenmewenti	现___在__用___着__暂__时__没__有__什___么_问__题_
mucezhengpin	目_测_正____品__
gangnadaoshou	刚___拿_到__手___
zanshifaxianbuleshenmemaobing	暂__时__发_现___不_了_什___么_毛__病___
yongqilaizhinengduideqi799dejiaqian	用___起_来__只__能___对__得_起_799的_价__钱___
ganggangshiyong	刚___刚___使__用___
henduogongnengbuqingchu	很__多__功___能___不_清___楚__
yihouyongderuhezaizhuiping	以_后__用___得_如_何_再__追___评___
buguozheshoujilaishuo	不_过__这__手___机_来__说___
bijingbushiyiyinzhichuming	毕_竟___不_是__以_音__质__出__名___
fanzhengjiushitingyinleyinzhibuxing	反__正____就__是__听___音__乐_音__质__不_行___
qiyudouhaihao	其_余_都__还__好__
zanyige	赞__一_个_
diyicizaijingdongmaidongxi	第_一_次_在__京___东___买__东___西_
suduzhendeshimeihuashuo	速_度_真___的_是__没__话__说___
kuaiditingkuaide	快___递_挺___快___的_
shangwuxiadanxiawujiudaole	上____午_下__单__下__午_就__到__了_
jiushirenhaizailaojia	就__是__人__还__在__老__家__
meiyounadaohuone	没__有__拿_到__货__呢_
zhiliangxiangzheyinggaibucuo	质__量____想____着__应___该__不_错__
kuaidihenzhunshi	快___递_很__准___时__
haimeiyong	还__没__用___
xiangeigezan	先___给__个_赞__
dongxibucuo	东___西_不_错__
wuliuyitianjiudaole	物_流__一_天___就__到__了_
geili	给__力_
haokuaidesudua	好__快___的_速_度_啊
geridao	隔_日_到__
bishunfengdouniu	比_顺___丰___都__牛__
shouganjihao	手___感__几_好__
naibunaidengdaishijianzhengming	耐__不_耐__等___待__时__间___证____明___
xianshiqingxi	显___示__清___晰_
fanyingdingkuaide	反__应___顶___快___的_
shoujiyuanzhuang	手___机_原___装_____
henhaoo	很__好__哦
xingnengyehenhao	性___能___也_很__好__
daaimeizu	大_爱_魅__族_
jinguanxitonghaiyouxiaoxiaci	尽__管___系_统___还__有__小___瑕__疵_
danshiyirandangbuzhuquanjiarendouyongmeizudereqing	但__是__依_然__挡___不_住__全___家__人__都__用___魅__族_的_热_情___
bucuo	不_错__
sudugeili	速_度_给__力_
zhunbeigeinvyouyemaiyige	准___备__给__女_友__也_买__一_个_
ganjuehaishijingdonghaoqiang	感__觉__还__是__京___东___好__抢____
jingdongwuliugeilizhuantianjiushoudaole	京___东___物_流__给__力_转____天___就__收___到__了_
jiqihenbucuogangkaishiyong	机_器_很__不_错__刚___开__始__用___
shoujihenhao	手___机_很__好__
kuaidifeichanggeili	快___递_非__常____给__力_
zan	赞__
waiguanbucuo	外__观___不_错__
haimeiyouyong	还__没__有__用___
buzhidaoxingnengzenmeyang	不_知__道__性___能___怎__么_样___
yihoujiurenzhunjingdongle	以_后__就__认__准___京___东___了_
jingdongfeichangbang	京___东___非__常____棒___
wulunzhiliang	无_论__质__量____
sudu	速_度_
haishitaidu	还__是__态__度_
douhenhao	都__很__好__
henhao	很__好__
henxihuan	很__喜_欢___
buzhidaoyongguojitianyihouzenmeyang	不_知__道__用___过__几_天___以_后__怎__么_样___
zhengpin	正____品__
shuang4g	双_____4g
zuotianqianggoude	昨__天___抢____购__的_
congtikanzhehaibucuo	从___体_看__着__还__不_错__
shizhengpin	是__正____品__
zongtihenmanyi	总___体_很__满__意_
ganggangshoudao	刚___刚___收___到__
bucuo	不_错__
biaoxiande	表___现___的_
ganggangyong	刚___刚___用___
zanshiganjuehaikeyi	暂__时__感__觉__还__可_以_
jiushikabuhaozhuang	就__是__卡_不_好__装_____
kayijingbeizijijianhuai	卡_已_经___被__自_己_剪___坏___
shoujidaoshou	手___机_到__手___
sududequebucuo	速_度_的_确__不_错__
gefangmianhenmanyi	各_方___面___很__满__意_
xitonghenyouxinyi	系_统___很__有__新__意_
youbieyuqitaguoneicaozuoxitong	有__别__于_其_他_国__内__操__作__系_统___
geigezan	给__个_赞__
wuliuhenkuai	物_流__很__快___
haoping	好__评___
qidaiyujingdongdexiayicihezuo	期_待__与_京___东___的_下__一_次_合_作__
zuotianqiangdaodeshoujijintianjiushoudaole	昨__天___抢____到__的_手___机_今__天___就__收___到__了_
wuliuhenkuai	物_流__很__快___
shoujiyehewoxiangdeyiyanghenmanyi	手___机_也_和_我_想____的_一_样___很__满__意_
haoping	好__评___
juebihaoping	绝__逼_好__评___
bucuo	不_错__
wanshangshangtu	晚__上____上____图_
henxihuan	很__喜_欢___
haibucuo	还__不_错__
wuliuyekuai	物_流__也_快___
hao	好__
zuogonghenhao	做__工___很__好__
suduhenkuai	速_度_很__快___
diyiciyongmeizude	第_一_次_用___魅__族_的_
ganjuehaikeyi	感__觉__还__可_以_
pingmudaxiaohenheshi	屏___幕_大_小___很__合_适__
tingtamenjiangzhekuanshoujixingjiabitinggaode	听___他_们__讲____这__款___手___机_性___价__比_挺___高__的_
zijihaimeiyoushiyong	自_己_还__没__有__使__用___
yinweishidianzichanpin	因__为__是__电___子_产___品__
suoyibuganwangjiapinglun	所__以_不_敢__妄___加__评___论__
daishiyongyiduanshijianhou	待__使__用___一_段___时__间___后__
zaizuopingjia	再__做__评___价__
shoujihaishihenbucuo	手___机_还__是__很__不_错__
henhaoyong	很__好__用___
wuliuyeyiyangkuai	物_流__也_一_样___快___
shoujihenbucuo	手___机_很__不_错__
xingjiabihengao	性___价__比_很__高__
zaiyongyong	再__用___用___
huizailaipingjiayici	会__再__来__评___价__一_次_
zongtihenmanyi	总___体_很__满__意_
kuaidixiaogerenyehenhao	快___递_小___哥_人__也_很__好__
wuliuhengeili	物_流__很__给__力_
diertianjiudaohuole	第_二_天___就__到__货__了_
haimeiyongne	还__没__用___呢_
haihao	还__好__
waiguanguodequ	外__观___过__得_去_
xiwangdianchihaoyong	希_望___电___池__好__用___
henhao	很__好__
zhichiguochanji	支__持__国__产___机_
benlaiyiweimeiqiangdaone	本__来__以_为__没__抢____到__呢_
yunqibucuo	运__气_不_错__
shangwupaixiawujiudaole	上____午_拍__下__午_就__到__了_
jingdongzhenshichaokuai	京___东___真___是__超___快___
zhiqianzaiguanwangmaidenglesitianne	之__前___在__官___网___买__等___了_四_天___呢_
shoujizhengtihaikeyi	手___机_整____体_还__可_以_
jiushipingmutaihuangle	就__是__屏___幕_太__黄____了_
kenengyunqibuhaoba	可_能___运__气_不_好__吧_
shoujibangbangde	手___机_棒___棒___的_
henmanyi	很__满__意_
wuliuhenkuai	物_流__很__快___
fuwuhenhao	服_务_很__好__
bucuo	不_错__
baozhuanglianghao	包__装_____良____好__
shoujiyehaisuankeyi	手___机_也_还__算___可_以_
shaoyouxiaci	稍___有__瑕__疵_
buyingxiangshiyong	不_影___响____使__用___
799miaode	799秒___的_
haikeyi	还__可_以_
jiushikuaidiyoudianmanle	就__是__快___递_有__点___慢__了_
dandadianhuatongzhijiuhenkuaisonglaile	但__打_电___话__通___知__就__很__快___送___来__了_
fuwutaiduyehenhao	服_务_态__度_也_很__好__
bangbabamaide	帮___爸_爸_买__的_
tazhegenianjimeiyouwomennianqingrenyongtuduo	他_这__个_年___纪_没__有__我_们__年___轻___人__用___途_多__
suoyiyouzhegexingjiabiganjueyijinghenbucuole	所__以_有__这__个_性___价__比_感__觉__已_经___很__不_错__了_
zhichiguochan	支__持__国__产___
bangpengyoumaideshoudaohuole	帮___朋___友__买__的_收___到__货__了_
zhiliangbuchuwentidehuahaishimeilan	质__量____不_出__问__题_的_话__还__是__魅__蓝__
xingjiabigao	性___价__比_高__
shoujihenbucuo	手___机_很__不_错__
zhengban	正____版__
bixiangxiangzhongdeyaohao	比_想____象____中____的_要__好__
jintiangangdao	今__天___刚___到__
shouganbucuo	手___感__不_错__
bishimianshangtongjiaweideshoujiyaohaohenduo	比_市__面___上____同___价__位__的_手___机_要__好__很__多__
gangnadaohuo	刚___拿_到__货__
bucuo	不_错__
haoping	好__评___
zhiliangbucuo	质__量____不_错__
kuaidibantiandaole	快___递_半__天___到__了_
zhichijingdong	支__持__京___东___
gangkaishiyongbutaixiguan	刚___开__始__用___不_太__习_惯___
buguohaihaola	不_过__还__好__啦_
kuaidixiaogemengmengda	快___递_小___哥_萌___萌___哒_
fuwutaiduhenhao	服_务_态__度_很__好__
kanqilaihaibucuo	看__起_来__还__不_错__
haimeiyong	还__没__用___
ganggangnadaoshou	刚___刚___拿_到__手___
shoudaole	收___到__了_
tebiehao	特_别__好__
henhaodeyicigouwu	很__好__的_一_次_购__物_
henhaoyong	很__好__用___
bucuo	不_错__
zuogongjingmeijuelun	做__工___精___美__绝__伦__
peizhiqiquan	配__置__齐_全___
gongnengqiangda	功___能___强____大_
waixingmeiguan	外__形___美__观___
haibucuo	还__不_错__
chupingshouganhao	触__屏___手___感__好__
shoujikayaojianhenxiao	手___机_卡_要__剪___很__小___
xiangxinshizhengpin	相____信__是__正____品__
shoujibucuo	手___机_不_错__
yongzhehaibucuo	用___着__还__不_错__
tinghaode	挺___好__的_
muqianmeiyourenhewenti	目_前___没__有__任__何_问__题_
feichangpiaoliang	非__常____漂___亮____
zanshibucuo	暂__时__不_错__
qidaiyihounengyouhaobiaoxian	期_待__以_后__能___有__好__表___现___
jingdongsudujiushikuai	京___东___速_度_就__是__快___
yitianjiukeyidao	一_天___就__可_以_到__
maiyibushoujimaicuole	买__一_部_手___机_买__错__了_
henfangbianjiukeyituile	很__方___便___就__可_以_退__了_
kuaidiyuanyetinghaode	快___递_员___也_挺___好__的_
zaijingdongmaidongxizhidexinlai	在__京___东___买__东___西_值__得_信__赖__
haibucuo	还__不_错__
wuliuchaojigeili	物_流__超___级_给__力_
800kuai	800块___
yezhizhegejiaba	也_值__这__个_价__吧_
henhao	很__好__
henmanyi	很__满__意_
shiyongle	使__用___了_
houmianzaipingjiashiyongxinde	后__面___在__评___价__使__用___心__的_
dongxitinghaode	东___西_挺___好__的_
bucuo	不_错__
zhengzaishiyongzhong	正____在__使__用___中____
qitahaihao	其_它_还__好__
shoujianshiwaibaozhuangzhixiangyongshiershoude	收___件___时__外__包__装_____纸__箱____用___是__二_手___的_
huiyinqiyonghudehuaiyi	会__引__起_用___户_的_怀___疑_
zongtihaikeyi799yuan	总___体_还__可_以_799元___
xingjiabigao	性___价__比_高__
pingmuda	屏___幕_大_
xitonggangkaishiyonghaibutaixiguan	系_统___刚___开__始__用___还__不_太__习_惯___
manmanjiuhuishuliande	慢__慢__就__回__熟__练___的_
chongdianqizhiliangbucuo	充____电___器_质__量____不_错__
erheyidekacaobushiyong	二_合_一_的_卡_槽__不_实__用___
haiburujiushishuangkacao	还__不_如_就__是__双_____卡_槽__
kuozhanneicunmeiyouyong	扩__展___内__存__没__有__用___
daneicunzhijiemai32gdele	大_内__存__直__接__买__32g的_了_
geiwomamaide	给__我_妈_买__的_
suduhenkuai	速_度_很__快___
shoujiyehenhao	手___机_也_很__好__
jiukannengbunengyonggeyinianle	就__看__能___不_能___用___个_一_年___了_
yekanchulemeizuzuochudenulile	也_看__出__了_魅__族_做__出__的_努_力_了_
31chuchanriqi	31出__产___日_期_
danshishoujixitongqueshizuixinde	但__是__手___机_系_统___却__是__最__新__的_
haha	哈_哈_
ershoujingdongguoranmingbuxuchuan	二_手___京___东___果__然__名___不_虚_传____
henmanyi	很__满__意_
youkenengdehua	有__可_能___的_话__
huibangwotongxuemaiyibu	会__帮___我_同___学__买__一_部_
zhenhaoyong	真___好__用___
zhebeizidoumeiyongguozhenmehaodeshouji	这__辈__子_都__没__用___过__真___么_好__的_手___机_
xiangxinmeizumeizuxiangxinjingdong	相____信__魅__族_meizu相____信__京___东___
daaijingdong	大_爱_京___东___
jiaqian	价__钱___
chaoshihui	超___实__惠__
suduyoukuai	速_度_又__块___
juedingledouzaijingdonghunle	决__定___了_都__在__京___东___混__了_
buguannixinbuxin	不_管___你_信__不_信__
fanzhengwoshixinle	反__正____我_是__信__了_
xiaohuobanmenkuailaijingdonggouwuba	小___伙__伴__门__快___来__jingdong购__物_吧_
dongxishoudaole	东___西_收___到__了_
henhao	很__好__
chabuduoba	差__不_多__吧_
zhegejiasuanhaodele	这__个_价__算___好__的_了_
songhuosudubushiyibandekuai	送___货__速_度_不_是__一_般__的_快___
banggegemaide	帮___哥_哥_买__的_
doushuomeizuhao	都__说___魅__族_好__
jiuyetuijianlemeizu	就__也_推__荐___了_魅__族_
ganjuehaibucuo	感__觉__还__不_错__
wokanshujubufu	我_看__数__据_不_符_
shibufacuole	是__不_发_错__了_
woyoudianbumingbaixugeigejieshi	我_有__点___不_明___白__需_给__个_解__释__
mt6753daohuodeshi	mt6753到__货__的_是__
m571	m571
zenmeheguigeshujubufu	怎__么_和_规__格_数__据_不_符_
bucuo	不_错__
yongqilaihenshufu	用___起_来__很__舒__服_
kuaidihengeili	快___递_很__给__力_
ganjuehenhao	感__觉__很__好__
799miaoshasanxing	799秒___杀__三__星___
tuijiangoumai	推__荐___购__买__
wuliuhenkuai	物_流__很__快___
fuwuyebucuo	服_务_也_不_错__
shoujigangshoudaohaimeiyouyongyihouzaishuoba	手___机_刚___收___到__还__没__有__用___以_后__再__说___吧_
zhidetuijian	值__得_推__荐___
qijianjiushibuyiyang	旗_舰___就__是__不_一_样___
genbenmeiyouwenti	根__本__没__有__问__题_
geibierenmaide	给__别__人__买__的_
zijiyemaiguoyige	自_己_也_买__过__一_个_
xingjiabihengao	性___价__比_很__高__
xingnengbucuo	性___能___不_错__
henhao	很__好__
henkuai	很__快___
bucuo	不_错__
bangpengyoumaide	帮___朋___友__买__的_
zijiyezaiyongzhekuanji	自_己_也_在__用___这__款___机_
shoujihaixing	手___机_还__行___
jiushidakaihezipingmushangdenageshuomingpingmumoyoujiaoyanzhongdehuahen	就__是__打_开__盒_子_屏___幕_上____的_那_个_说___明___屏___幕_膜_有__较___严__重____的_划__痕__
buzhidaozenmehuishi	不_知__道__怎__么_回__事__
meichaiguodeyinggaibukenengyoude	没__拆___过__的_应___该__不_可_能___有__的_
youdiandanxinshibushibierentuihuodejiqi	有__点___担__心__是__不_是__别__人__退__货__的_机_器_
wuliudaoshihengeili	物_流__倒__是__很__给__力_
haihaopingmumeiyouhuahen	还__好__屏___幕_没__有__划__痕__
bangpengyoumaide	帮___朋___友__买__的_
haimeikan	还__没__看__
yinggaibucuo	应___该__不_错__
shoujihenhao	手___机_很__好__
wuchaosuozhi	物_超___所__值__
henhaoyong	很__好__用___
waiguanhenjing	外__观___很__靓___
fahuokuai	发_货__快___
diertianjiushoudaole	第_二_天___就__收___到__了_
gangdaoshou	刚___到__手___
shoujishouganbucuo	手___机_手___感__不_错__
goumai	购__买__
pingmuzuoshangjiaoyouyihuidianbuyingxiangshiyong	屏___幕_左__上____角___有__一_灰__点___不_影___响____使__用___
paizhaoyibanxiwangjinkuaixitonggengxin	拍__照___一_般__希_望___尽__快___系_统___更___新__
xingjiabigao	性___价__比_高__
yaoqiubugaodeyongge2-3nianyingok	要__求__不_高__的_用___个_2-3年___应___ok
haikeyi	还__可_以_
wuliuhenkuai	物_流__很__快___
dangtiandao	当___天___到__
gangyonghaimeishenmewenti	刚___用___还__没__什___么_问__题_
daiding	待__定___
zheshiwodiyiciyongmeizu	这__是__我_第_一_次_用___魅__族_
daohuohouyanjiuleyixia	到__货__后__研__究__了_一_下__
henhaoyong	很__好__用___
ganjuebangbangda	感__觉__棒___棒___哒_
zuotianmaidebiaozhunbanjintianjiushoudaole	昨__天___买__的_标___准___版__今__天___就__收___到__了_
meizuhenzan	魅__族_很__赞__
shoujipiaoliangxifuhenxihuan	手___机_漂___亮____西_服_很__喜_欢___
peisongdeyehenkuai	配__送___的_也_很__快___
shoujihaihao	手___机_还__好__
jiushiyansebutaixihuan	就__是__颜__色_不_太__喜_欢___
yongjitianzaikankanba	用___几_天___在__看__看__吧_
bangmamamaide	帮___妈_妈_买__的_
mamahenxihuan	妈_妈_很__喜_欢___
zhichiguochanji	支__持__国__产___机_
diyicizaijdshangmaidongxi	第_一_次_在__jd上____买__东___西_
bixiangxiangdeyaofangbianduole	比_想____像____的_要__方___便___多__了_
wuliuhengeili	物_流__很__给__力_
baobeibucuo	宝__贝__不_错__
xiacijixu	下__次_继_续_
haozaojiuxiangmaimeilanle	好__早__就__像____买__魅__蓝__了_
zuotianshangxianjiukanjianle	昨__天___上____线___就__看__见___了_
guoduanxiadan	果__断___下__单__
shoujihuamianqingxi	手___机_画__面___清___晰_
yunxingliuchang	运__行___流__畅____
laomeihenxihuan	老__妹__很__喜_欢___
